#proc cat nGausRV nGausWV
OutsideAcceptance hgg_DEtaHJJ_0p0_0p2_cat0_17 2 -1
OutsideAcceptance hgg_DEtaHJJ_0p0_0p2_cat1_17 -1 -1
OutsideAcceptance hgg_DEtaHJJ_0p0_0p2_cat2_17 -1 -1
OutsideAcceptance hgg_DEtaHJJ_0p2_0p5_cat0_17 3 -1
OutsideAcceptance hgg_DEtaHJJ_0p2_0p5_cat1_17 3 -1
OutsideAcceptance hgg_DEtaHJJ_0p2_0p5_cat2_17 1 -1
OutsideAcceptance hgg_DEtaHJJ_0p5_0p85_cat0_17 2 -1
OutsideAcceptance hgg_DEtaHJJ_0p5_0p85_cat1_17 2 -1
OutsideAcceptance hgg_DEtaHJJ_0p5_0p85_cat2_17 3 -1
OutsideAcceptance hgg_DEtaHJJ_0p85_1p2_cat0_17 3 -1
OutsideAcceptance hgg_DEtaHJJ_0p85_1p2_cat1_17 2 -1
OutsideAcceptance hgg_DEtaHJJ_0p85_1p2_cat2_17 2 -1
OutsideAcceptance hgg_DEtaHJJ_1p2_1p7_cat0_17 -1 -1
OutsideAcceptance hgg_DEtaHJJ_1p2_1p7_cat1_17 3 -1
OutsideAcceptance hgg_DEtaHJJ_1p2_1p7_cat2_17 1 -1
OutsideAcceptance hgg_DEtaHJJ_1p7_10p0_cat0_17 -1 -1
OutsideAcceptance hgg_DEtaHJJ_1p7_10p0_cat1_17 3 -1
OutsideAcceptance hgg_DEtaHJJ_1p7_10p0_cat2_17 2 -1
OutsideAcceptance hgg_DEtaHJJ_m1000p0_0p0_cat0_17 2 -1
OutsideAcceptance hgg_DEtaHJJ_m1000p0_0p0_cat1_17 2 -1
OutsideAcceptance hgg_DEtaHJJ_m1000p0_0p0_cat2_17 2 -1
smH_DEtaHJJ_0p0_0p2 hgg_DEtaHJJ_0p0_0p2_cat0_17 1 -1
smH_DEtaHJJ_0p0_0p2 hgg_DEtaHJJ_0p0_0p2_cat1_17 4 -1
smH_DEtaHJJ_0p0_0p2 hgg_DEtaHJJ_0p0_0p2_cat2_17 3 -1
smH_DEtaHJJ_0p0_0p2 hgg_DEtaHJJ_0p2_0p5_cat0_17 2 -1
smH_DEtaHJJ_0p0_0p2 hgg_DEtaHJJ_0p2_0p5_cat1_17 2 -1
smH_DEtaHJJ_0p0_0p2 hgg_DEtaHJJ_0p2_0p5_cat2_17 2 -1
smH_DEtaHJJ_0p0_0p2 hgg_DEtaHJJ_0p5_0p85_cat0_17 2 -1
smH_DEtaHJJ_0p0_0p2 hgg_DEtaHJJ_0p5_0p85_cat1_17 1 -1
smH_DEtaHJJ_0p0_0p2 hgg_DEtaHJJ_0p5_0p85_cat2_17 1 -1
